service_id,date,exception_type
13,20130707,1
14,20130110,1
14,20130111,1
14,20130114,1
14,20130115,1
14,20130116,1
14,20130117,1
14,20130118,1
14,20130122,1
14,20130123,1
14,20130124,1
14,20130125,1
14,20130128,1
14,20130129,1
14,20130130,1
14,20130131,1
14,20130201,1
14,20130204,1
14,20130205,1
14,20130206,1
14,20130207,1
14,20130208,1
14,20130211,1
14,20130212,1
14,20130213,1
14,20130214,1
14,20130215,1
14,20130218,1
14,20130219,1
14,20130220,1
14,20130221,1
14,20130222,1
14,20130225,1
14,20130226,1
14,20130227,1
14,20130228,1
14,20130301,1
14,20130304,1
14,20130305,1
14,20130306,1
14,20130307,1
14,20130308,1
14,20130311,1
14,20130312,1
14,20130313,1
14,20130314,1
14,20130315,1
14,20130318,1
14,20130319,1
14,20130320,1
14,20130321,1
14,20130322,1
14,20130325,1
14,20130326,1
14,20130327,1
14,20130328,1
14,20130329,1
14,20130401,1
14,20130402,1
14,20130403,1
14,20130404,1
14,20130405,1
14,20130408,1
14,20130409,1
14,20130410,1
14,20130411,1
14,20130412,1
14,20130415,1
14,20130416,1
14,20130417,1
14,20130418,1
14,20130419,1
14,20130422,1
14,20130423,1
14,20130424,1
14,20130425,1
14,20130426,1
14,20130429,1
14,20130430,1
14,20130501,1
14,20130502,1
14,20130503,1
14,20130506,1
14,20130507,1
14,20130508,1
14,20130509,1
14,20130510,1
14,20130513,1
14,20130514,1
14,20130515,1
14,20130516,1
14,20130517,1
14,20130520,1
14,20130521,1
14,20130522,1
14,20130523,1
14,20130524,1
14,20130527,1
14,20130528,1
14,20130529,1
14,20130530,1
14,20130531,1
14,20130603,1
14,20130604,1
14,20130605,1
14,20130606,1
14,20130607,1
14,20130610,1
14,20130611,1
14,20130612,1
14,20130613,1
14,20130614,1
14,20130617,1
14,20130618,1
14,20130619,1
14,20130620,1
14,20130621,1
14,20130624,1
14,20130625,1
14,20130626,1
14,20130627,1
14,20130628,1
14,20130701,1
14,20130702,1
14,20130703,1
14,20130704,1
14,20130705,1
14,20130708,1
15,20130111,1
16,20130118,1
16,20130125,1
16,20130201,1
16,20130208,1
16,20130215,1
16,20130222,1
16,20130301,1
16,20130308,1
16,20130315,1
16,20130322,1
16,20130329,1
16,20130405,1
16,20130412,1
16,20130419,1
16,20130426,1
16,20130503,1
16,20130510,1
16,20130517,1
17,20130114,1
17,20130115,1
17,20130116,1
17,20130117,1
17,20130122,1
17,20130123,1
17,20130124,1
17,20130128,1
17,20130129,1
17,20130130,1
17,20130131,1
17,20130204,1
17,20130205,1
17,20130206,1
17,20130207,1
17,20130211,1
17,20130212,1
17,20130213,1
17,20130214,1
17,20130219,1
17,20130220,1
17,20130221,1
17,20130225,1
17,20130226,1
17,20130227,1
17,20130228,1
17,20130304,1
17,20130305,1
17,20130306,1
17,20130307,1
17,20130311,1
17,20130312,1
17,20130313,1
17,20130314,1
17,20130318,1
17,20130319,1
17,20130320,1
17,20130321,1
17,20130325,1
17,20130326,1
17,20130327,1
17,20130328,1
17,20130401,1
17,20130402,1
17,20130403,1
17,20130404,1
17,20130408,1
17,20130409,1
17,20130410,1
17,20130411,1
17,20130415,1
17,20130416,1
17,20130417,1
17,20130418,1
17,20130422,1
17,20130423,1
17,20130424,1
17,20130425,1
17,20130429,1
17,20130430,1
17,20130501,1
17,20130502,1
17,20130506,1
17,20130507,1
17,20130508,1
17,20130509,1
17,20130513,1
17,20130514,1
17,20130515,1
17,20130516,1
18,20130316,1
19,20130115,1
19,20130116,1
19,20130117,1
19,20130118,1
19,20130123,1
19,20130124,1
19,20130125,1
19,20130129,1
19,20130130,1
19,20130131,1
19,20130201,1
19,20130205,1
19,20130206,1
19,20130207,1
19,20130208,1
19,20130212,1
19,20130213,1
19,20130214,1
19,20130215,1
19,20130220,1
19,20130221,1
19,20130222,1
19,20130226,1
19,20130227,1
19,20130228,1
19,20130301,1
19,20130305,1
19,20130306,1
19,20130307,1
19,20130308,1
19,20130312,1
19,20130313,1
19,20130314,1
19,20130315,1
19,20130319,1
19,20130320,1
19,20130321,1
19,20130322,1
19,20130326,1
19,20130327,1
19,20130328,1
19,20130329,1
19,20130402,1
19,20130403,1
19,20130404,1
19,20130405,1
19,20130409,1
19,20130410,1
19,20130411,1
19,20130412,1
19,20130416,1
19,20130417,1
19,20130418,1
19,20130419,1
19,20130423,1
19,20130424,1
19,20130425,1
19,20130426,1
19,20130430,1
19,20130501,1
19,20130502,1
19,20130503,1
19,20130507,1
19,20130508,1
19,20130509,1
19,20130510,1
19,20130514,1
19,20130515,1
19,20130516,1
19,20130517,1
20,20130114,1
20,20130122,1
20,20130128,1
20,20130204,1
20,20130211,1
20,20130219,1
20,20130225,1
20,20130304,1
20,20130311,1
20,20130318,1
20,20130325,1
20,20130401,1
20,20130408,1
20,20130415,1
20,20130422,1
20,20130429,1
20,20130506,1
20,20130513,1
21,20130303,1
22,20130119,1
22,20130120,1
22,20130126,1
22,20130202,1
22,20130209,1
22,20130216,1
22,20130217,1
22,20130223,1
